month,no_of_rainy_days,total_rainfall,mean_rh,year
1,10,107.1,81.2,1982
2,5,27.8,79.5,1982
3,11,160.8,82.3,1982
4,14,157.0,85.9,1982
5,10,102.2,83.2,1982
6,8,59.5,80.3,1982
7,8,76.3,77.6,1982
8,11,169.5,80.4,1982
9,9,54.1,80.6,1982
10,10,39.3,81.5,1982
11,13,134.0,83.4,1982
12,21,494.1,87.7,1982
1,18,246.0,85.6,1983
2,2,5.6,78.0,1983
3,2,18.6,76.0,1983
4,4,33.6,77.2,1983
5,11,160.8,83.2,1983
6,11,94.0,82.4,1983
7,18,190.0,83.7,1983
8,10,262.2,81.2,1983
9,18,170.8,84.4,1983
10,17,212.7,82.5,1983
11,18,228.8,85.2,1983
12,16,370.6,88.0,1983
1,18,251.2,85.8,1984
2,19,470.4,86.0,1984
3,19,361.3,85.4,1984
4,17,153.1,83.8,1984
5,12,186.5,84.1,1984
6,14,255.0,83.1,1984
7,12,127.2,83.7,1984
8,13,102.7,84.1,1984
9,17,186.7,83.9,1984
10,11,187.5,82.5,1984
11,17,127.7,86.3,1984
12,22,277.4,86.7,1984
1,7,111.1,81.5,1985
2,11,79.3,84.0,1985
3,13,88.0,83.9,1985
4,14,110.5,83.8,1985
5,12,70.1,83.4,1985
6,14,37.0,79.4,1985
7,17,131.8,83.1,1985
8,11,56.9,80.4,1985
9,18,110.7,83.1,1985
10,21,169.0,84.7,1985
11,21,179.4,85.0,1985
12,22,340.1,86.2,1985
1,13,308.2,83.9,1986
2,2,26.7,78.4,1986
3,17,353.4,86.6,1986
4,14,150.0,85.3,1986
5,13,145.1,81.8,1986
6,13,122.9,82.5,1986
7,12,109.7,79.9,1986
8,11,72.9,77.3,1986
9,22,396.0,84.4,1986
10,20,227.3,85.0,1986
11,21,256.7,84.1,1986
12,16,367.2,85.2,1986
1,16,568.6,86.0,1987
2,7,86.9,79.0,1987
3,12,132.5,83.2,1987
4,10,72.5,82.8,1987
5,16,270.0,84.6,1987
6,15,126.6,80.7,1987
7,11,80.9,81.3,1987
8,16,191.9,83.6,1987
9,11,129.9,82.5,1987
10,9,22.6,82.1,1987
11,17,347.6,84.0,1987
12,11,72.8,84.6,1987
1,15,237.5,84.3,1988
2,9,158.1,83.2,1988
3,15,186.8,85.3,1988
4,13,109.6,84.5,1988
5,14,229.6,82.7,1988
6,13,252.2,81.6,1988
7,15,305.4,84.0,1988
8,14,80.1,84.9,1988
9,14,440.4,84.5,1988
10,17,134.6,83.2,1988
11,23,401.4,86.8,1988
12,11,62.9,81.1,1988
1,10,189.7,84.1,1989
2,3,52.4,78.3,1989
3,21,305.9,87.6,1989
4,17,198.6,86.4,1989
5,12,194.0,86.6,1989
6,12,117.6,83.3,1989
7,12,157.6,82.6,1989
8,18,201.0,83.7,1989
9,14,247.3,84.4,1989
10,16,111.0,83.7,1989
11,20,508.4,86.0,1989
12,18,179.7,85.5,1989
1,13,147.4,83.8,1990
2,8,24.1,80.9,1990
3,4,94.2,77.6,1990
4,10,52.4,81.2,1990
5,11,180.1,81.1,1990
6,9,112.6,80.7,1990
7,12,124.0,82.7,1990
8,13,146.6,82.3,1990
9,17,204.5,83.2,1990
10,12,56.4,83.5,1990
11,17,180.4,83.5,1990
12,16,201.1,86.0,1990
1,13,123.9,84.1,1991
2,7,45.5,81.6,1991
3,10,92.4,79.9,1991
4,13,134.2,84.3,1991
5,23,256.4,86.6,1991
6,9,88.7,81.0,1991
7,8,37.3,78.7,1991
8,8,226.2,79.8,1991
9,12,123.1,83.0,1991
10,5,52.0,81.4,1991
11,19,205.0,86.5,1991
12,19,492.3,90.7,1991
1,9,83.9,82.4,1992
2,4,62.4,80.5,1992
3,6,67.6,80.6,1992
4,13,160.3,82.4,1992
5,13,63.1,83.3,1992
6,14,162.8,82.7,1992
7,19,290.8,83.8,1992
8,11,76.1,81.1,1992
9,13,83.6,82.9,1992
10,20,233.2,82.0,1992
11,18,474.3,87.7,1992
12,23,502.7,90.3,1992
1,11,176.4,85.7,1993
2,8,69.2,80.5,1993
3,14,250.5,86.3,1993
4,20,283.9,84.5,1993
5,10,129.9,82.9,1993
6,17,115.5,80.9,1993
7,15,240.0,83.2,1993
8,11,106.8,79.4,1993
9,7,61.7,81.4,1993
10,13,175.5,84.3,1993
11,18,250.8,87.4,1993
12,19,308.5,87.4,1993
1,7,56.9,82.1,1994
2,15,133.5,84.5,1994
3,19,288.2,87.1,1994
4,15,154.0,84.8,1994
5,16,169.6,84.8,1994
6,14,184.7,83.5,1994
7,6,53.8,78.9,1994
8,12,45.1,80.0,1994
9,6,23.7,78.7,1994
10,11,84.7,81.5,1994
11,21,322.2,88.4,1994
12,18,425.4,85.5,1994
1,21,349.4,86.2,1995
2,16,334.0,87.5,1995
3,10,67.7,83.9,1995
4,16,242.3,85.3,1995
5,11,84.4,83.7,1995
6,12,63.7,81.9,1995
7,13,173.6,82.6,1995
8,21,211.6,85.6,1995
9,7,29.5,81.6,1995
10,12,101.1,82.8,1995
11,20,372.8,86.8,1995
12,20,302.5,86.6,1995
1,10,173.2,84.2,1996
2,11,180.2,84.6,1996
3,8,129.7,81.0,1996
4,15,178.2,85.5,1996
5,15,107.5,83.7,1996
6,15,265.8,84.3,1996
7,10,162.3,81.9,1996
8,18,258.4,83.4,1996
9,18,297.0,82.2,1996
10,19,300.0,83.0,1996
11,16,180.2,83.5,1996
12,15,185.5,82.9,1996
1,3,15.4,77.3,1997
2,8,105.4,80.8,1997
3,10,34.3,79.6,1997
4,12,118.4,82.7,1997
5,6,41.6,77.7,1997
6,12,78.9,76.7,1997
7,9,18.6,76.5,1997
8,9,86.6,78.2,1997
9,3,31.1,77.0,1997
10,8,78.4,81.0,1997
11,13,158.3,82.8,1997
12,23,351.9,85.3,1997
1,13,268.8,83.2,1998
2,5,32.5,78.3,1998
3,7,58.8,77.8,1998
4,13,187.7,81.8,1998
5,18,370.8,82.3,1998
6,15,198.8,82.1,1998
7,18,259.2,81.8,1998
8,18,195.0,85.4,1998
9,17,258.2,84.1,1998
10,20,222.7,82.3,1998
11,11,107.2,81.9,1998
12,22,463.4,88.5,1998
1,19,193.9,88.3,1999
2,9,67.4,82.4,1999
3,16,181.4,87.5,1999
4,14,88.5,82.6,1999
5,13,157.1,84.4,1999
6,13,103.4,81.9,1999
7,11,225.4,82.7,1999
8,13,204.0,84.1,1999
9,13,125.9,81.7,1999
10,20,205.0,84.6,1999
11,19,241.5,84.4,1999
12,17,340.5,85.3,1999
1,14,275.2,86.9,2000
2,18,237.8,86.5,2000
3,15,238.3,85.8,2000
4,20,311.6,85.6,2000
5,10,96.8,82.4,2000
6,16,157.5,84.3,2000
7,12,116.1,82.6,2000
8,18,113.5,83.8,2000
9,12,81.1,82.2,2000
10,14,120.9,82.1,2000
11,21,385.7,87.1,2000
12,18,236.0,87.6,2000
1,21,425.8,87.4,2001
2,11,86.6,83.6,2001
3,20,297.3,84.5,2001
4,18,203.3,86.0,2001
5,12,164.9,85.0,2001
6,11,137.1,82.5,2001
7,9,111.3,80.8,2001
8,14,158.3,83.7,2001
9,13,162.0,82.3,2001
10,20,252.2,83.7,2001
11,15,175.3,84.9,2001
12,20,609.0,86.8,2001
1,11,221.2,83.6,2002
2,2,50.8,80.9,2002
3,8,55.6,80.8,2002
4,13,116.5,82.3,2002
5,13,236.6,82.3,2002
6,12,83.1,82.1,2002
7,11,233.7,82.7,2002
8,14,54.2,79.2,2002
9,9,124.2,81.7,2002
10,7,10.8,79.8,2002
11,15,307.2,85.8,2002
12,24,255.0,88.7,2002
1,20,444.2,86.9,2003
2,13,172.9,85.0,2003
3,11,154.6,83.8,2003
4,20,159.9,86.7,2003
5,11,81.8,81.7,2003
6,12,50.3,78.5,2003
7,14,170.4,81.7,2003
8,13,193.6,83.1,2003
9,15,205.3,84.8,2003
10,21,351.4,84.9,2003
11,19,133.8,87.3,2003
12,17,273.0,87.2,2003
1,13,600.9,86.7,2004
2,4,31.9,80.5,2004
3,16,269.4,85.8,2004
4,9,57.1,82.3,2004
5,13,137.6,82.1,2004
6,8,127.2,79.8,2004
7,20,166.6,85.3,2004
8,8,185.2,80.3,2004
9,14,128.9,83.6,2004
10,13,125.6,83.9,2004
11,15,166.2,86.1,2004
12,14,139.8,85.2,2004
1,8,163.2,83.3,2005
2,3,8.4,77.7,2005
3,12,82.4,80.3,2005
4,10,81.7,81.0,2005
5,20,331.1,84.6,2005
6,15,82.3,82.7,2005
7,15,104.0,84.0,2005
8,13,58.5,82.9,2005
9,18,175.7,84.2,2005
10,19,314.5,85.2,2005
11,23,362.9,86.4,2005
12,19,166.0,85.6,2005
1,20,454.4,87.8,2006
2,8,115.5,84.0,2006
3,9,83.1,81.3,2006
4,18,239.8,87.0,2006
5,14,205.7,85.2,2006
6,16,236.8,86.3,2006
7,15,153.8,83.8,2006
8,14,127.3,81.9,2006
9,12,83.3,81.0,2006
10,8,102.0,80.9,2006
11,18,185.6,87.4,2006
12,22,765.9,88.5,2006
1,20,450.1,86.8,2007
2,3,105.5,82.5,2007
3,21,269.1,84.9,2007
4,14,240.2,84.7,2007
5,16,127.2,84.8,2007
6,12,139.0,82.8,2007
7,19,141.7,84.8,2007
8,20,190.7,82.9,2007
9,13,149.0,83.3,2007
10,16,237.2,83.2,2007
11,21,367.9,86.5,2007
12,20,468.6,86.8,2007
1,19,262.6,86.0,2008
2,8,129.2,82.9,2008
3,16,294.1,87.1,2008
4,13,87.2,82.0,2008
5,11,124.9,79.1,2008
6,12,118.3,81.5,2008
7,15,89.1,81.3,2008
8,18,327.3,83.8,2008
9,18,164.4,82.7,2008
10,19,159.5,84.9,2008
11,16,324.3,85.9,2008
12,17,244.2,83.7,2008
1,5,38.3,79.1,2009
2,8,201.8,80.7,2009
3,19,223.3,85.4,2009
4,12,183.7,82.2,2009
5,17,198.6,83.0,2009
6,8,21.8,79.8,2009
7,16,161.0,80.8,2009
8,12,177.8,80.7,2009
9,13,109.6,82.0,2009
10,15,133.4,82.8,2009
11,23,281.8,85.6,2009
12,18,189.8,86.3,2009
1,10,69.5,82.1,2010
2,4,6.3,77.3,2010
3,11,238.0,79.9,2010
4,18,158.5,84.1,2010
5,17,157.5,82.2,2010
6,19,240.5,83.9,2010
7,18,298.5,84.8,2010
8,16,158.4,84.2,2010
9,13,121.5,82.5,2010
10,17,166.2,82.3,2010
11,21,278.8,85.9,2010
12,14,181.4,85.3,2010
1,17,513.2,85.8,2011
2,8,23.0,81.1,2011
3,22,256.6,85.5,2011
4,12,217.8,83.9,2011
5,15,127.0,85.3,2011
6,15,213.0,83.7,2011
7,7,76.6,81.3,2011
8,13,81.4,82.6,2011
9,14,136.4,82.7,2011
10,20,216.8,87.4,2011
11,24,377.8,87.8,2011
12,21,284.6,88.4,2011
1,16,106.1,87.3,2012
2,11,83.6,85.6,2012
3,21,313.4,87.3,2012
4,20,260.6,85.1,2012
5,19,292.0,83.1,2012
6,8,53.0,79.0,2012
7,17,130.8,81.1,2012
8,12,119.0,79.8,2012
9,10,107.6,79.7,2012
10,13,122.2,81.3,2012
11,22,208.2,85.4,2012
12,22,363.4,87.0,2012
1,15,262.0,82.1,2013
2,22,395.2,86.9,2013
3,10,85.8,80.4,2013
4,19,159.4,82.7,2013
5,17,211.4,83.1,2013
6,12,111.4,74.6,2013
7,15,174.6,79.9,2013
8,15,165.6,79.0,2013
9,19,257.0,81.3,2013
10,19,285.4,79.9,2013
11,22,292.4,84.6,2013
12,21,348.2,85.8,2013
1,5,75.4,78.5,2014
2,1,0.2,74.5,2014
3,6,66.0,76.0,2014
4,17,110.0,80.0,2014
5,18,125.8,80.2,2014
6,11,71.4,77.5,2014
7,15,148.6,78.3,2014
8,20,241.0,79.7,2014
9,9,83.6,75.6,2014
10,10,120.0,77.0,2014
11,23,250.8,82.4,2014
12,17,245.6,82.6,2014
1,6,79.6,77.6,2015
2,6,18.8,75.4,2015
3,5,84.4,75.8,2015
4,13,73.2,77.1,2015
5,12,89.0,78.9,2015
6,10,95.8,75.8,2015
7,13,116.8,74.9,2015
8,11,185.8,76.7,2015
9,8,61.6,75.0,2015
10,9,87.2,75.4,2015
11,13,72.6,79.1,2015
12,19,302.3,81.1,2015
1,15,126.6,79.6,2016
2,10,186.0,78.8,2016
3,6,6.2,74.7,2016
4,14,89.8,75.6,2016
5,12,193.8,77.4,2016
6,13,162.8,77.7,2016
7,20,168.6,77.3,2016
8,15,139.2,74.0,2016
9,15,118.9,73.9,2016
10,16,181.0,72.0,2016
11,20,290.2,77.6,2016
12,23,292.6,72.8,2016
1,21,197.6,84.8,2017
2,15,158.4,83.2,2017
3,11,136.2,82.5,2017
4,21,208.6,83.5,2017
5,15,190.0,82.8,2017
6,10,106.0,80.2,2017
7,9,79.6,79.6,2017
8,18,84.2,79.9,2017
9,19,124.4,81.0,2017
10,18,120.8,82.5,2017
11,24,268.6,86.3,2017
12,23,371.2,85.2,2017
1,25,287.0,86.6,2018
2,5,14.8,77.2,2018
3,10,44.6,78.4,2018
4,14,61.2,78.5,2018
5,19,132.2,79.0,2018
6,17,182.6,79.3,2018
7,10,143.2,77.7,2018
8,11,121.6,77.0,2018
9,13,144.4,77.1,2018
10,18,234.4,79.7,2018
11,27,169.6,83.2,2018
12,19,172.6,81.5,2018
1,9,63.6,75.6,2019
2,5,31.6,74.1,2019
3,6,72.2,72.3,2019
4,9,174.8,77.6,2019
