station,year,month,day,daily_rainfall_total_(mm),highest_30_min_rainfall_(mm),highest_60_min_rainfall_(mm),highest_120_min_rainfall_(mm),mean_temperature_(°c),maximum_temperature_(°c),minimum_temperature_(°c),mean_wind_speed_(km/h),max_wind_speed_(km/h),weather_condition,relative_humidity_(%)
Changi,2021,1,1,134.4,21.2,29.6,45.4,24.5,26.0,21.9,9.6,44.4,Rain,88.22995780590718
Changi,2021,1,2,210.6,23.6,40.2,61.6,23.1,24.1,21.7,7.9,37,Rain,
Changi,2021,1,3,5.6,1.0,2.0,2.6,24.0,25.0,21.7,4.5,14.8,Rain,
Changi,2021,1,4,0.0,0.0,0.0,0.0,25.2,28.0,22.9,5.1,18.5,No Rain,
Changi,2021,1,5,4.2,4.2,4.2,4.2,26.3,31.6,23.8,8.8,29.6,Rain,88.49852216748766
Changi,2021,1,6,0.8,0.6,0.6,0.6,26.6,29.9,24.8,7.3,29.6,Rain,82.10027972027973
Changi,2021,1,7,7.2,2.6,3.6,4.4,24.3,25.3,23.7,5.8,18.5,Rain,90.59202239328202
Changi,2021,1,8,40.6,19.6,21.6,22.6,25.3,28.5,23.4,8.6,37,Rain,91.65933147632312
Changi,2021,1,9,23.8,9.8,11.8,13.2,25.6,28.7,23.9,7.9,37,Rain,89.41454545454545
Changi,2021,1,10,204.0,22.0,36.8,54.6,23.9,24.6,23.3,8.5,33.3,Rain,96.51842288904398
Changi,2021,1,11,2.4,0.4,0.8,1.2,25.8,28.6,24.3,11.5,37,Rain,87.01981856245638
Changi,2021,1,12,13.0,9.0,9.0,9.0,25.7,28.9,23.9,14.1,-,Rain,86.28536414565826
Changi,2021,1,13,2.0,1.0,1.0,1.2,25.4,27.7,23.6,10.2,42.6,Rain,84.38100558659218
Changi,2021,1,14,0.0,0.2,0.2,0.2,25.7,29.0,23.3,8.6,31.5,No Rain,80.49685314685314
Changi,2021,1,15,0.0,0.0,0.0,0.0,26.8,30.5,24.4,11.5,29.6,No Rain,76.68531468531468
Changi,2021,1,16,0.0,0.0,0.0,0.0,27.0,30.0,24.9,12.6,31.5,No Rain,80.18708100558659
Changi,2021,1,17,0.0,0.0,0.0,0.0,27.1,30.5,25.2,15.4,38.9,No Rain,75.92545454545454
Changi,2021,1,18,0.0,0.0,0.0,0.0,26.5,28.9,25.2,15.9,48.2,No Rain,69.72274947662247
Changi,2021,1,19,0.0,0.0,0.0,0.0,26.4,29.7,24.0,12.0,35.2,No Rain,72.83864430468205
Changi,2021,1,20,0.0,0.0,0.0,0.0,26.4,29.6,24.0,9.4,31.5,No Rain,76.6857938718663
Changi,2021,1,21,0.8,0.4,0.6,0.8,26.5,30.7,24.1,10.0,31.5,Rain,78.90586592178771
Changi,2021,1,22,3.2,3.0,3.2,3.2,26.3,30.8,24.1,9.3,27.8,Rain,82.08667131891137
Changi,2021,1,23,28.4,16.4,27.2,28.4,26.1,30.6,23.0,10.1,38.9,Rain,81.59560055865921
Changi,2021,1,24,0.0,0.0,0.0,0.0,26.7,31.2,23.5,11.4,31.5,No Rain,78.67725657427151
Changi,2021,1,25,0.0,0.0,0.0,0.0,27.4,31.6,25.1,11.5,31.5,No Rain,77.2804469273743
Changi,2021,1,26,0.0,0.0,0.0,0.0,27.3,31.5,24.6,11.2,31.5,No Rain,75.10097765363129
Changi,2021,1,27,0.0,0.0,0.0,0.0,26.8,30.2,24.4,9.6,31.5,No Rain,79.6915502793296
Changi,2021,1,28,10.8,10.6,10.8,10.8,26.4,30.4,23.1,10.7,33.3,Rain,82.31534170153418
Changi,2021,1,29,0.0,0.0,0.0,0.0,26.9,30.6,24.5,12.3,35.2,No Rain,75.86755244755246
Changi,2021,1,30,0.0,0.0,0.0,0.0,27.0,30.5,24.7,12.9,40.7,No Rain,75.11261324041811
Changi,2021,1,31,1.0,0.4,0.6,0.6,26.4,30.3,24.1,11.3,35.2,Rain,80.54428172942818
Changi,2021,2,1,0.0,0.0,0.0,0.0,26.9,30.1,24.6,11.9,35.2,No Rain,79.96366177498253
Changi,2021,2,2,0.0,0.0,0.0,0.0,26.9,30.3,25.4,12.0,35.2,No Rain,78.25439944134078
Changi,2021,2,3,0.0,0.0,0.0,0.0,27.0,30.3,25.1,12.7,38.9,No Rain,75.51434569629112
Changi,2021,2,4,0.0,0.0,0.0,0.0,26.7,30.8,24.5,13.4,40.7,No Rain,72.46373165618449
Changi,2021,2,5,0.0,0.0,0.0,0.0,26.8,31.6,23.7,12.3,37,No Rain,76.74093444909344
Changi,2021,2,6,0.0,0.0,0.0,0.0,27.6,31.5,25.6,15.7,38.9,No Rain,74.23099017384732
Changi,2021,2,7,0.0,0.0,0.0,0.0,27.6,32.7,24.6,12.6,35.2,No Rain,74.4180487804878
Changi,2021,2,8,0.0,0.0,0.0,0.0,27.6,32.1,24.7,13.3,37,No Rain,78.82374501992031
